feu;
1;
1;
22;22;
----------------------------------;
1;1;1;1;1;1;1;8;8;8;2;2;2;2;2;4;4;4;4;4;4;4;
1;1;1;1;1;1;8;8;8;8;2;2;2;2;2;4;6;6;6;6;6;4;
1;1;1;1;1;1;8;8;8;8;8;2;2;2;2;4;6;6;6;6;6;4;
1;1;1;1;1;1;8;8;8;8;2;2;2;2;2;4;6;6;6;6;6;4;
1;4;4;4;4;4;4;4;4;4;8;2;2;2;2;4;6;6;6;6;6;4;
4;6;6;6;6;6;6;6;4;1;8;4;4;4;4;4;6;6;6;6;6;4;
1;4;6;6;6;6;6;6;6;4;1;4;2;2;2;4;6;6;6;6;6;4;
4;6;6;6;6;6;6;6;4;4;4;8;8;2;2;4;6;6;6;6;6;4;
1;4;6;6;6;6;6;6;6;4;1;1;1;8;2;4;6;6;6;6;6;4;
4;6;6;6;6;6;6;6;4;1;1;1;1;8;2;4;6;6;6;6;6;4;
1;4;6;6;6;6;6;6;6;4;1;1;1;1;8;4;6;6;6;6;6;4;
4;6;6;6;6;6;6;6;4;4;4;4;4;4;4;4;4;4;4;4;4;4;
1;4;6;6;6;6;6;6;6;4;1;1;1;1;1;8;8;8;2;2;2;2;
4;6;6;6;6;6;6;6;4;1;1;1;1;1;1;1;1;8;2;2;2;2;
1;4;4;4;4;4;4;4;4;4;1;1;1;1;1;1;1;1;8;8;8;8;
1;1;1;1;1;1;1;1;7;7;7;7;7;7;7;1;1;1;1;1;1;1;
1;1;1;1;1;1;1;1;7;1;1;1;1;1;1;7;1;1;1;1;1;1;
1;1;1;1;1;1;1;7;1;7;7;7;7;7;1;7;1;1;1;1;1;1;
1;1;1;1;1;1;1;7;1;7;1;1;1;1;7;1;7;1;1;1;1;1;
1;1;1;1;1;1;7;1;7;1;7;7;7;1;7;1;7;1;1;1;1;1;
1;1;1;1;1;1;7;1;7;1;7;1;1;7;1;7;1;7;1;1;1;1;
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
0;0;0;1-90;
0;11;21;1-10;
1;11;21;1-10;
3;11;20;1-10;
4;12;20;1-10;
5;10;21;1-10;
7;9;21;1-10;
9;9;20;1-10;
9;8;21;1-10;
12;11;21;0;
14;11;20;0;
15;12;20;0;
15;21;0;4-71;
16;10;21;0;
16;7;21;1-10;
16;21;0;4;
16;21;2;4-71;
17;21;2;4;
17;21;4;4-71;
18;9;21;0;
18;9;19;1-10;
18;21;4;4;
18;21;6;4-71;
19;21;6;4;
19;21;8;4-71;
20;9;20;0;
20;8;21;0;
20;7;20;1-10;
20;21;8;4;
20;12;11;4-71;
20;21;0;4-71;
21;10;18;1-10;
21;12;11;4;
21;8;14;4-71;
21;21;0;4;
21;21;2;4-71;
22;6;21;1-10;
22;8;14;4;
22;7;15;1-71;
22;21;2;4;
22;21;4;4-71;
23;7;19;1-10;
23;7;15;1;
23;7;16;1-71;
23;21;4;4;
23;21;6;4-71;
24;7;16;1;
24;6;17;1-71;
24;21;6;4;
24;21;8;4-71;
25;8;18;1-10;
25;6;17;1;
25;6;18;1-71;
25;21;8;4;
25;12;11;4-71;
25;21;0;4-71;
26;6;18;1;
26;5;19;1-71;
26;12;11;4;
26;8;14;4-71;
26;21;0;4;
26;21;2;4-71;
27;7;21;0;
27;5;21;1-10;
27;5;19;1;
27;5;20;1-71;
27;8;14;4;
27;7;15;1-71;
27;21;2;4;
27;21;4;4-71;
28;8;17;1-10;
28;7;15;1;
28;7;16;1-71;
28;21;4;4;
28;21;6;4-71;
29;9;19;0;
29;5;20;1-10-71;
29;7;16;1;
29;6;17;1-71;
29;21;6;4;
29;21;8;4-71;
30;11;18;1-10;
30;5;20;1-9-71;
30;6;17;1;
30;6;18;1-71;
30;21;8;4;
30;12;11;4-71;
30;21;0;4-71;
31;7;20;0;
31;4;21;1-10;
31;4;19;1-10-71;
31;5;20;1-9;
31;4;19;1-10-71;
31;6;18;1;
31;5;19;1-71;
31;12;11;4;
31;7;14;4-71;
31;21;0;4;
31;21;2;4-71;
32;10;18;0;
32;5;19;1;
32;4;19;1-10-72;
32;7;14;4;
32;6;15;1-71;
32;21;2;4;
32;21;4;4-71;
33;6;21;0;
33;4;19;1-9-72;
33;6;15;1;
33;6;16;1-71;
33;21;4;4;
33;21;6;4-71;
34;7;19;0;
34;9;16;1-10;
34;4;18;1-10-72;
34;3;19;1-10;
34;4;19;1-9;
34;4;18;1-10-72;
34;4;19;1-9;
34;4;18;1-10-72;
34;6;16;1;
34;5;17;1-71;
34;21;6;4;
34;21;8;4-71;
35;4;20;1-10;
35;3;21;1-10;
35;5;17;1;
35;5;18;1-71;
35;21;8;4;
35;12;11;4-71;
35;21;0;4-71;
36;8;18;0;
36;3;17;1-10-71;
36;3;18;1-10;
36;4;18;1-9-71;
36;4;18;1-9-71;
36;3;17;1-10-71;
36;5;18;1;
36;4;17;1-10-71;
36;12;11;4;
36;6;14;4-71;
36;21;0;4;
36;21;2;4-71;
37;4;17;1-10-71;
37;2;19;1-10;
37;3;20;1-10;
37;4;18;1-9;
37;3;17;1-10-72;
37;6;14;4;
37;3;15;1-71;
37;21;2;4;
37;21;4;4-71;
38;5;21;0;
38;3;16;1-10;
38;3;17;1-9-72;
38;3;15;1;
38;4;16;1-10-71;
38;21;4;4;
38;21;6;4-71;
39;8;17;0;
39;2;21;1-10;
39;4;16;1-10-71;
39;2;18;1-10;
39;1;19;1-10;
39;2;20;1-10;
39;3;17;1-9;
39;3;16;1-10-72;
39;3;17;1-9;
39;3;16;1-10-72;
39;4;17;1-9-71;
39;21;6;4;
39;21;8;4-71;
40;4;17;1-9;
40;4;16;1-10-72;
40;21;8;4;
40;12;11;4-71;
40;21;0;4-71;
41;11;18;0;
41;2;17;1-10;
41;2;16;1-10;
41;4;15;1-10;
41;1;18;1-10;
41;0;19;1-10;
41;1;20;1-10;
41;3;16;1-9-71;
41;3;16;1-9-71;
41;3;15;1-10-72;
41;4;16;1-9-71;
41;4;16;1-9-71;
41;3;15;1-10-72;
41;12;11;4;
41;5;14;4-71;
41;21;0;4;
41;21;2;4-71;
42;4;21;0;
42;12;18;1-10;
42;3;15;1-10-74;
42;3;16;1-9;
42;3;15;1-10-74;
42;4;16;1-9;
42;3;15;1-10-74;
42;21;2;4;
42;21;4;4-71;
43;1;17;1-10;
43;1;15;1-10;
43;1;16;1-10;
43;4;14;4-10-73;
43;5;14;4-10-71;
43;0;18;1-10;
43;3;15;1-9-71;
43;3;15;1-9-71;
43;4;14;4-10-73;
43;3;15;1-9-71;
43;4;14;4-10-73;
43;3;15;1-9-71;
43;4;14;4-10-73;
43;21;4;4;
43;21;6;4-71;
44;0;17;1-10;
44;13;18;1-10;
44;3;15;1-9;
44;4;14;4-9-74;
44;4;14;4-9-74;
44;5;14;4-9-71;
44;21;6;4;
44;21;8;4-71;
45;9;16;0;
45;3;19;0;
45;2;15;1-10;
45;0;20;1-10;
45;1;14;4-10-75;
45;0;15;1-10;
45;4;13;6-10;
45;4;14;4-9;
45;1;14;4-10-75;
45;4;14;4-9;
45;1;14;4-10-75;
45;4;14;4-9;
45;1;14;4-10-75;
45;4;14;4-9;
45;1;14;4-10-75;
45;5;14;4-9;
45;1;14;4-10-75;
45;21;8;4;
45;12;11;4-71;
45;21;0;4-71;
46;4;20;0;
46;3;21;0;
46;10;16;1-10;
46;0;16;1-10;
46;1;14;4-9-73;
46;1;14;4-9-73;
46;3;13;6-10-72;
46;1;14;4-9-73;
46;3;13;6-10-72;
46;12;11;4;
46;4;13;6-10-71;
46;21;0;4;
46;21;2;4-71;
47;3;18;0;
47;5;12;6-10;
47;3;13;6-10-72;
47;1;14;4-9;
47;2;14;4-10-73;
47;1;14;4-9;
47;2;14;4-10-73;
47;1;14;4-9;
47;2;14;4-10-73;
47;21;2;4;
47;21;4;4-71;
48;2;19;0;
48;3;20;0;
48;2;14;4-9-73;
48;2;14;4-9-73;
48;3;13;6-9-71;
48;3;13;6-9-71;
48;4;12;6-10-71;
48;21;4;4;
48;21;6;4-71;
49;4;12;6-10-71;
49;4;11;6-10;
49;2;14;4-9;
49;3;14;4-10-74;
49;2;14;4-9;
49;3;14;4-10-74;
49;2;14;4-9;
49;3;14;4-10-74;
49;3;13;6-9;
49;3;14;4-10-74;
49;4;13;6-9-71;
49;21;6;4;
49;21;8;4-71;
50;2;21;0;
50;2;18;0;
50;1;19;0;
50;2;20;0;
50;3;14;4-9-73;
50;5;13;6-10-71;
50;5;11;6-10;
50;3;14;4-9-73;
50;3;14;4-9-73;
50;5;13;6-10-71;
50;4;13;6-9;
50;4;12;6-10-72;
50;21;8;4;
50;12;11;4-71;
50;21;0;4-71;
51;0;14;1-10;
51;6;12;6-10;
51;3;11;6-10-71;
51;3;12;6-10;
51;5;10;6-10;
51;3;14;4-9;
51;5;13;6-10-75;
51;3;14;4-9;
51;5;13;6-10-75;
51;3;14;4-9;
51;5;13;6-10-75;
51;4;12;6-9-71;
51;4;12;6-9-71;
51;3;11;6-10-71;
51;12;11;4;
51;5;13;6-10-75;
51;21;0;4;
51;16;1;6-71;
52;2;17;0;
52;2;16;0;
52;4;15;0;
52;1;18;0;
52;0;19;0;
52;1;20;0;
52;6;10;6-10;
52;5;13;6-9-72;
52;5;13;6-9-72;
52;5;12;6-10-73;
52;5;13;6-9-72;
52;5;12;6-10-73;
52;4;12;6-9;
52;3;11;6-10-72;
52;5;13;6-9-72;
52;5;12;6-10-73;
52;16;1;6;
52;13;11;4-71;
53;12;18;0;
53;6;11;6-10;
53;3;10;6-10;
53;4;9;6-10;
53;5;9;6-10;
53;5;13;6-9;
53;5;12;6-9-75;
53;5;13;6-9;
53;5;12;6-9-75;
53;3;11;6-9-72;
53;5;12;6-9-75;
53;13;11;4;
53;7;11;6-71;
54;1;17;0;
54;1;15;0;
54;1;16;0;
54;0;18;0;
54;4;10;6-10;
54;2;11;6-10;
54;6;9;6-10;
54;5;12;6-9;
54;4;11;6-10-75;
54;5;12;6-9;
54;4;11;6-10-75;
54;5;12;6-9;
54;4;11;6-10-75;
54;5;12;6-9;
54;4;11;6-10-75;
54;3;11;6-9;
54;3;10;6-10-72;
54;3;11;6-9;
54;3;10;6-10-72;
54;5;12;6-9;
54;4;11;6-10-75;
54;7;11;6;
54;7;10;6-10-71;
55;0;17;0;
55;13;18;0;
55;0;13;4-10;
55;2;12;6-10;
55;7;10;6-10-71;
55;2;9;6-10;
55;3;9;6-10;
55;4;8;6-10;
55;5;8;6-10;
55;4;11;6-9-73;
55;4;11;6-9-73;
55;4;10;6-10-72;
55;4;11;6-9-73;
55;4;10;6-10-72;
56;2;15;0;
56;0;20;0;
56;0;15;0;
56;13;19;1-10;
56;11;16;1-10;
56;2;10;6-10;
56;6;8;6-10;
56;4;11;6-9;
56;4;10;6-10-75;
56;4;11;6-9;
56;4;10;6-10-75;
56;4;11;6-9;
56;4;10;6-10-75;
56;3;10;6-9-71;
56;3;10;6-9-71;
56;2;9;6-10-71;
57;10;16;0;
57;0;16;0;
57;7;11;6-10;
57;1;11;6-10;
57;7;8;6-10;
57;2;8;6-10;
57;3;8;6-10;
57;1;9;6-10;
57;3;7;6-10;
57;4;7;6-10;
57;4;10;6-9-71;
57;4;10;6-9-71;
57;3;9;6-10-74;
57;4;10;6-9-71;
57;3;9;6-10-74;
57;4;10;6-9-71;
57;3;9;6-10-74;
57;3;10;6-9;
57;2;9;6-10-72;
57;4;10;6-9-71;
57;3;9;6-10-74;
57;7;10;6-9-71;
58;1;12;4-10;
58;1;13;6-10;
58;5;7;6-10;
58;1;10;4-10;
58;6;7;6-10;
58;4;10;6-9;
58;3;9;6-9-74;
58;3;9;6-9-74;
58;2;9;6-9-72;
58;3;9;6-9-74;
58;3;8;6-10-71;
58;7;10;6-9;
58;6;9;6-10-71;
59;5;11;0;
59;0;12;1-10;
59;7;7;6-10;
59;1;7;6-10;
59;2;7;6-10;
59;1;8;4-10;
59;0;9;4-10;
59;3;6;6-10;
59;4;6;6-10;
59;3;9;6-9;
59;3;8;6-10-75;
59;3;9;6-9;
59;3;8;6-10-75;
59;3;9;6-9;
59;3;8;6-10-75;
59;3;9;6-9;
59;3;8;6-10-75;
59;2;9;6-9;
59;2;8;6-10-72;
59;2;9;6-9;
59;2;8;6-10-72;
60;6;12;0;
60;3;12;0;
60;5;10;0;
60;8;10;6-10;
60;8;11;4-10;
60;5;6;6-10;
60;0;10;1-10;
60;3;8;6-9-72;
