feu;
1;
1;
22;22;
----------------------------------;
1;1;1;1;1;1;1;8;8;8;2;2;2;2;2;4;4;4;4;4;4;4;
1;1;1;1;1;1;8;8;8;8;2;2;2;2;2;4;6;6;6;6;6;4;
1;1;1;1;1;1;8;8;8;8;8;2;2;2;2;4;6;6;6;6;6;4;
1;1;1;1;1;1;8;8;8;8;2;2;2;2;2;4;6;6;6;6;6;4;
1;4;4;4;4;4;4;4;4;4;8;2;2;2;2;4;6;6;6;6;6;4;
4;6;6;6;6;6;6;6;4;1;8;4;4;4;4;4;6;6;6;6;6;4;
1;4;6;6;6;6;6;6;6;4;1;4;2;2;2;4;6;6;6;6;6;4;
4;6;6;6;6;6;6;6;4;4;4;8;8;2;2;4;6;6;6;6;6;4;
1;4;6;6;6;6;6;6;6;4;1;1;1;8;2;4;6;6;6;6;6;4;
4;6;6;6;6;6;6;6;4;1;1;1;1;8;2;4;6;6;6;6;6;4;
1;4;6;6;6;6;6;6;6;4;1;1;1;1;8;4;6;6;6;6;6;4;
4;6;6;6;6;6;6;6;4;4;4;4;4;4;4;4;4;4;4;4;4;4;
1;4;6;6;6;6;6;6;6;4;1;1;1;1;1;8;8;8;2;2;2;2;
4;6;6;6;6;6;6;6;4;1;1;1;1;1;1;1;1;8;2;2;2;2;
1;4;4;4;4;4;4;4;4;4;1;1;1;1;1;1;1;1;8;8;8;8;
1;1;1;1;1;1;1;1;7;7;7;7;7;7;7;1;1;1;1;1;1;1;
1;1;1;1;1;1;1;1;7;1;1;1;1;1;1;7;1;1;1;1;1;1;
1;1;1;1;1;1;1;7;1;7;7;7;7;7;1;7;1;1;1;1;1;1;
1;1;1;1;1;1;1;7;1;7;1;1;1;1;7;1;7;1;1;1;1;1;
1;1;1;1;1;1;7;1;7;1;7;7;7;1;7;1;7;1;1;1;1;1;
1;1;1;1;1;1;7;1;7;1;7;1;1;7;1;7;1;7;1;1;1;1;
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
0;0;0;1-90;
0;11;21;1-10;
1;11;21;1-10;
3;12;21;1-10;
4;12;20;1-10;
4;10;21;1-10;
5;11;20;1-10;
11;9;21;1-10;
12;11;21;0;
13;9;20;1-10;
14;12;21;0;
15;12;20;0;
15;10;21;0;
15;9;19;1-10;
15;21;0;4-71;
16;11;20;0;
16;21;0;4;
16;21;2;4-71;
17;8;21;1-10;
17;10;18;1-10;
17;21;2;4;
17;21;4;4-71;
18;21;4;4;
18;21;6;4-71;
19;21;6;4;
19;21;8;4-71;
20;7;21;1-10;
20;21;8;4;
20;12;11;4-71;
20;21;0;4-71;
21;12;11;4;
21;8;14;4-71;
21;21;0;4;
21;21;2;4-71;
22;9;21;0;
22;11;18;1-10;
22;6;21;1-10;
22;8;14;4;
22;7;15;1-71;
22;21;2;4;
22;21;4;4-71;
23;7;15;1;
23;7;16;1-71;
23;21;4;4;
23;21;6;4-71;
24;9;20;0;
24;7;16;1;
24;6;17;1-71;
24;21;6;4;
24;21;8;4-71;
25;7;20;1-10;
25;6;17;1;
25;6;18;1-71;
25;21;8;4;
25;12;11;4-71;
25;21;0;4-71;
26;9;19;0;
26;6;18;1;
26;5;19;1-71;
26;12;11;4;
26;8;14;4-71;
26;21;0;4;
26;21;2;4-71;
27;7;19;1-10;
27;5;19;1;
27;5;20;1-71;
27;8;14;4;
27;7;15;1-71;
27;21;2;4;
27;21;4;4-71;
28;8;21;0;
28;10;18;0;
28;5;20;1;
28;5;21;1-71;
28;7;15;1;
28;7;16;1-71;
28;21;4;4;
28;21;6;4-71;
29;5;21;1;
29;6;21;1-10-71;
29;7;16;1;
29;6;17;1-71;
29;21;6;4;
29;21;8;4-71;
30;6;17;1;
30;6;18;1-71;
30;21;8;4;
30;12;11;4-71;
30;21;0;4-71;
31;7;21;0;
31;8;18;1-10;
31;6;18;1;
31;5;19;1-71;
31;12;11;4;
31;8;14;4-71;
31;21;0;4;
31;21;2;4-71;
32;5;21;1-10;
32;6;21;1-9-71;
32;5;19;1;
32;5;20;1-71;
32;8;14;4;
32;7;15;1-71;
32;21;2;4;
32;21;4;4-71;
33;11;18;0;
33;8;17;1-10;
33;6;21;1-9;
33;7;20;1-10-71;
33;5;20;1;
33;5;21;1-10-71;
33;7;15;1;
33;7;16;1-71;
33;21;4;4;
33;21;6;4-71;
34;7;16;1;
34;6;17;1-71;
34;21;6;4;
34;21;8;4-71;
35;6;17;1;
35;6;18;1-71;
35;21;8;4;
35;12;11;4-71;
35;21;0;4-71;
36;7;20;0;
36;5;20;1-10;
36;7;20;0;
36;7;19;1-10-71;
36;5;21;1-9-71;
36;6;18;1;
36;5;19;1-71;
36;12;11;4;
36;8;14;4-71;
36;21;0;4;
36;21;2;4-71;
37;4;21;1-10;
37;5;21;1-9;
37;5;20;1-10-72;
37;5;19;1;
37;5;20;1-10-72;
37;8;14;4;
37;7;15;1-71;
37;21;2;4;
37;21;4;4-71;
38;7;19;0;
38;9;16;1-10;
38;7;19;0;
38;8;18;1-10-71;
38;7;15;1;
38;7;16;1-71;
38;21;4;4;
38;21;6;4-71;
39;5;20;1-9-71;
39;5;20;1-9-71;
39;4;21;1-10-71;
39;7;16;1;
39;6;17;1-71;
39;21;6;4;
39;21;8;4-71;
40;4;20;1-10;
40;5;20;1-9;
40;4;21;1-10-72;
40;6;17;1;
40;6;18;1-71;
40;21;8;4;
40;12;11;4-71;
40;21;0;4-71;
41;3;21;1-10;
41;8;18;1-9-71;
41;4;21;1-9-72;
41;6;18;1;
41;5;19;1-71;
41;12;11;4;
41;7;14;4-71;
41;21;0;4;
41;21;2;4-71;
42;3;19;1-10;
42;4;19;1-10-71;
42;8;18;1-9;
42;8;17;1-10-71;
42;4;21;1-9;
42;4;20;1-10-72;
42;4;21;1-9;
42;4;20;1-10-72;
42;5;19;1;
42;4;19;1-10-71;
42;7;14;4;
42;6;15;1-71;
42;21;2;4;
42;21;4;4-71;
43;6;15;1;
43;6;16;1-71;
43;21;4;4;
43;21;6;4-71;
44;8;17;0;
44;3;20;1-10;
44;3;18;1-10;
44;4;18;1-10;
44;5;18;1-10;
44;8;17;0;
44;9;16;1-10-71;
44;4;20;1-9-71;
44;4;20;1-9-71;
44;3;19;1-10-71;
44;6;16;1;
44;5;17;1-71;
44;21;6;4;
44;21;8;4-71;
45;2;21;1-10;
45;4;20;1-9;
45;3;19;1-10-72;
45;4;19;1-9-71;
45;21;8;4;
45;12;11;4-71;
45;21;0;4-71;
46;2;19;1-10;
46;2;17;1-10;
46;5;17;1-10-71;
46;3;19;1-9-72;
46;4;19;1-9;
46;4;18;1-10-71;
46;12;11;4;
46;7;14;4-71;
46;21;0;4;
46;21;2;4-71;
47;3;17;1-10;
47;4;17;1-10;
47;2;20;1-10;
47;9;16;1-9-71;
47;3;19;1-9;
47;3;18;1-10-72;
47;3;19;1-9;
47;3;18;1-10-72;
47;5;17;1-9-71;
47;7;14;4;
47;5;15;1-71;
47;21;2;4;
47;21;4;4-71;
48;2;18;1-10;
48;3;16;1-10;
48;5;16;1-10-72;
48;9;16;1-9;
48;8;17;0-71;
48;5;17;1-9;
48;5;16;1-10-72;
48;5;15;1;
48;5;16;1-10-72;
48;21;4;4;
48;21;6;4-71;
49;2;16;1-10;
49;1;17;1-10;
49;8;17;0;
49;8;18;1-9-71;
49;3;18;1-9-71;
49;3;18;1-9-71;
49;2;17;1-10-71;
49;4;18;1-9-71;
49;21;6;4;
49;21;8;4-71;
50;6;18;1-10;
50;1;21;1-10;
50;1;19;1-10;
50;2;15;1-10;
50;4;15;1-10-71;
50;5;15;1-10;
50;8;18;1-9;
50;7;19;0-71;
50;3;18;1-9;
50;2;17;1-10-72;
50;4;18;1-9;
50;3;17;1-10-71;
50;5;16;1-9-71;
50;5;16;1-9-71;
50;4;15;1-10-71;
50;21;8;4;
50;12;11;4-71;
50;21;0;4-71;
51;4;16;1-10;
51;1;20;1-10;
51;1;16;1-10;
51;7;19;0;
51;7;20;0-71;
51;2;17;1-9-72;
51;5;16;1-9;
51;4;15;1-10-72;
51;12;11;4;
51;6;14;4-10-71;
51;21;0;4;
51;21;2;4-71;
52;3;21;0;
52;1;15;1-10;
52;0;17;1-10;
52;6;17;1-10;
52;0;21;1-10;
52;4;14;4-10;
52;6;14;4-10-71;
52;7;20;0;
52;6;21;1-9-71;
52;2;17;1-9;
52;2;16;1-10-72;
52;2;17;1-9;
52;2;16;1-10-72;
52;4;15;1-9-72;
52;21;2;4;
52;21;4;4-71;
53;3;14;4-10;
53;5;14;4-10;
53;3;15;1-10;
53;0;15;1-10;
53;6;21;1-9;
53;5;21;1-9-71;
53;3;17;1-9-71;
53;4;15;1-9;
53;4;14;4-10-72;
53;4;15;1-9;
53;4;14;4-10-72;
53;21;4;4;
53;21;6;4-71;
54;5;19;1-10;
54;0;16;1-10;
54;1;14;4-10;
54;2;14;4-10;
54;6;16;1-10;
54;3;13;6-10;
54;4;13;6-10;
54;5;13;6-10;
54;5;21;1-9;
54;5;20;1-9-71;
54;2;16;1-9-71;
54;2;16;1-9-71;
54;1;15;1-10-71;
54;3;17;1-9;
54;3;16;1-10-71;
54;6;14;4-9-71;
54;21;6;4;
54;21;8;4-71;
55;3;20;0;
55;5;18;0;
55;1;18;1-10;
55;0;19;1-10;
55;0;20;1-10;
55;6;13;6-10;
55;0;14;1-10;
55;5;20;1-9;
55;5;19;1-10-71;
55;2;16;1-9;
55;1;15;1-10-72;
55;4;14;4-9-71;
55;4;14;4-9-71;
55;5;14;4-10-72;
55;6;14;4-9;
55;5;14;4-10-72;
55;21;8;4;
55;12;11;4-71;
56;2;21;0;
56;4;12;6-10;
56;2;13;6-10;
56;1;15;1-9-72;
56;4;14;4-9;
56;5;14;4-10-74;
56;12;11;4;
56;5;14;4-10-74;
57;2;19;0;
57;6;12;6-10;
57;0;18;1-10;
57;7;13;6-10;
57;1;15;1-9;
57;1;14;4-10-72;
57;1;15;1-9;
57;1;14;4-10-72;
57;3;16;1-9-71;
57;5;14;4-9-71;
57;5;14;4-9-71;
57;3;14;4-10-73;
57;5;14;4-9-71;
57;3;14;4-10-73;
57;5;14;4-9-71;
57;3;14;4-10-73;
58;4;17;0;
58;2;20;0;
58;7;16;1-10;
58;1;13;6-10;
58;3;12;6-10;
58;0;13;4-10;
58;2;12;6-10;
58;5;19;1-9-71;
58;3;16;1-9;
58;2;15;1-10-71;
58;5;14;4-9;
58;3;14;4-9-74;
58;3;14;4-9-74;
59;2;18;0;
59;6;15;1-10;
59;5;12;6-10;
59;7;12;6-10;
59;5;19;1-9;
59;6;18;1-10-71;
59;1;14;4-9-71;
59;1;14;4-9-71;
59;0;13;4-10-71;
59;3;14;4-9;
59;2;14;4-10-74;
59;3;14;4-9;
59;2;14;4-10-74;
59;3;14;4-9;
59;2;14;4-10-74;
59;3;14;4-9;
59;2;14;4-10-74;
60;1;17;0;
60;4;11;6-10;
60;5;11;6-10;
60;8;12;6-10;
60;1;12;4-10;
60;1;11;6-10;
60;1;14;4-9;
60;0;13;4-10-73;
60;2;14;4-9-73;
60;2;14;4-9-73;
60;0;13;4-10-73;
61;6;18;0;
61;1;21;0;
61;1;19;0;
61;2;15;0;
61;5;15;0;
61;3;11;6-10;
61;6;11;6-10;
61;0;12;1-10;
61;7;11;6-10;
61;6;18;0;
61;6;17;1-10-71;
61;0;13;4-9-72;
61;2;15;0;
61;1;13;6-10-74;
61;2;14;4-9;
61;1;13;6-10-74;
61;2;14;4-9;
61;1;13;6-10-74;
61;2;14;4-9;
61;1;13;6-10-74;
61;0;13;4-9-72;
61;1;12;4-10-71;
62;4;16;0;
62;1;20;0;
62;1;16;0;
62;2;11;6-10;
62;5;10;6-10;
62;6;10;6-10;
62;1;10;4-10;
62;0;13;4-9;
62;1;12;4-10-74;
62;0;13;4-9;
62;1;12;4-10-74;
62;1;13;6-9-73;
62;1;13;6-9-73;
62;1;12;4-10-74;
63;0;17;0;
63;6;17;0;
63;0;21;0;
63;3;13;0;
63;4;13;0;
63;5;13;0;
63;4;10;6-10;
63;8;11;4-10;
63;0;11;4-10-75;
63;6;17;0;
63;6;16;1-10-71;
63;1;12;4-9-72;
63;1;13;6-9;
63;0;11;4-10-75;
63;1;13;6-9;
63;0;11;4-10-75;
63;1;13;6-9;
63;0;11;4-10-75;
63;1;12;4-9-72;
63;0;11;4-10-75;
63;1;12;4-9-72;
63;0;11;4-10-75;
64;3;15;0;
64;0;15;0;
